Alias	Title	BioSample Used	Library Name	Library Source	Library Selection	Library Strategy	Library Construction Protocol	Instrument	Library Layout	Insert Size	Nominal Stev	Spot Length
			r1-230531M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r3-230606S	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r5-230615-2M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r6-230617P	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r7-230601M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r8-230501S	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r9-230501M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r10-230521M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r11-230605S	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r12-230520S	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r13-230606M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r14-230610S	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r15-230616M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r16-230531-2M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r17-230615-3S	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r18-230905S	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r19-230930P	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r21-130000M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r22-210413-1M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r23-210413-2M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r24-210413-3M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r25-220600M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r26-221010M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r27-221030M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r28-230500P	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r29-230510M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r30-230700M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r31-230606-2M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r32-230606-3S	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r33-230500-2M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r34-221000M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r35-231007S	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r36-231018-1M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r37-231018-2M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r40-231018-5M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r41-231018-6M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r42-231018-7M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r43-231018-8M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r44-231018-9M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r45-231018-10M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r46-231018-11M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
			r47-231018-12M	METAGENOMIC	PCR	AMPLICON		NextSeq 1000	paired (FR)	440		602
