#SampleID	Description
r1-230531M	1.r1-230531M
r3-230606S	2.r3-230606S
r5-230615-2M	3.r5-230615-2M
r6-230617P	4.r6-230617P
r7-230601M	5.r7-230601M
r8-230501S	6.r8-230501S
r9-230501M	7.r9-230501M
r10-230521M	8.r10-230521M
r11-230605S	9.r11-230605S
r12-230520S	10.r12-230520S
r13-230606M	11.r13-230606M
r14-230610S	12.r14-230610S
r15-230616M	13.r15-230616M
r16-230531-2M	14.r16-230531-2M
r17-230615-3S	15.r17-230615-3S
r18-230905S	16.r18-230905S
r19-230930P	17.r19-230930P
r21-130000M	18.r21-130000M
r22-210413-1M	19.r22-210413-1M
r23-210413-2M	20.r23-210413-2M
r24-210413-3M	21.r24-210413-3M
r25-220600M	22.r25-220600M
r26-221010M	23.r26-221010M
r27-221030M	24.r27-221030M
r28-230500P	25.r28-230500P
r29-230510M	26.r29-230510M
r30-230700M	27.r30-230700M
r31-230606-2M	28.r31-230606-2M
r32-230606-3S	29.r32-230606-3S
r33-230500-2M	30.r33-230500-2M
r34-221000M	31.r34-221000M
r35-231007S	32.r35-231007S
r36-231018-1M	33.r36-231018-1M
r37-231018-2M	34.r37-231018-2M
r38-231018-3M	35.r38-231018-3M
r39-231018-4M	36.r39-231018-4M
r40-231018-5M	37.r40-231018-5M
r41-231018-6M	38.r41-231018-6M
r42-231018-7M	39.r42-231018-7M
r43-231018-8M	40.r43-231018-8M
r44-231018-9M	41.r44-231018-9M
r45-231018-10M	42.r45-231018-10M
r46-231018-11M	43.r46-231018-11M
r47-231018-12M	44.r47-231018-12M
r48-231018-13M	45.r48-231018-13M
r49-231018-14M	46.r49-231018-14M
r50-231018-15M	47.r50-231018-15M
r51-231018-16M	48.r51-231018-16M
r52-231018-17M	49.r52-231018-17M
r53-231018-18M	50.r53-231018-18M
r54-231018-19M	51.r54-231018-19M
r55-231018-20M	52.r55-231018-20M
r56-240617M	53.r56-240617M
r57-240722M	54.r57-240722M
r58-240918S	55.r58-240918S
r59-241017-1M	56.r59-241017-1M
r60-241017-2M	57.r60-241017-2M
r61-241017-3M	58.r61-241017-3M
r62-241017-4M	59.r62-241017-4M
r63-241017-5M	60.r63-241017-5M
r64-241017-6M	61.r64-241017-6M
r66-241017-8M	62.r66-241017-8M
r67-241017-9M	63.r67-241017-9M
r68-241017-10M	64.r68-241017-10M
r69-241017-11M	65.r69-241017-11M
r70-241017-12M	66.r70-241017-12M
r71-241017-13M	67.r71-241017-13M
r72-241017-14M	68.r72-241017-14M
r73-241017-15M	69.r73-241017-15M
r74-241017-16M	70.r74-241017-16M
r75-241017-17M	71.r75-241017-17M
r77-241017-19M	72.r77-241017-19M
r79-241102M	73.r79-241102M
r12A-230520S	74.r12A-230520S
r14A-230610S	75.r14A-230610S
r61A-241017-3M	76.r61A-241017-3M
r65A-241017-7M	77.r65A-241017-7M
r78A-241017-20M	78.r78A-241017-20M
230505B	79.230505B
230223X-1	80.230223X-1
230223X-2	81.230223X-2
230223X-3	82.230223X-3
